week,product,region,units_sold,price,promotion
2022-01-02,Smartphone,North,224,758.79,0
2022-01-02,Smartphone,South,193,240.42,0
2022-01-02,Smartphone,Central,278,118.53,1
2022-01-02,Smartphone,East,238,849.2,0
2022-01-02,Smartphone,West,176,373.82,0
2022-01-02,Smartwatch,North,176,488.75,0
2022-01-02,Smartwatch,South,149,362.93,0
2022-01-02,Smartwatch,Central,215,510.46,0
2022-01-02,Smartwatch,East,203,633.17,0
2022-01-02,Smartwatch,West,128,646.79,0
2022-01-02,Tablet,North,169,715.81,0
2022-01-02,Tablet,South,185,209.83,0
2022-01-02,Tablet,Central,241,380.54,0
2022-01-02,Tablet,East,138,592.04,0
2022-01-02,Tablet,West,236,179.64,0
2022-01-02,Headphones,North,208,140.7,0
2022-01-02,Headphones,South,126,845.86,0
2022-01-02,Headphones,Central,164,352.84,0
2022-01-02,Headphones,East,216,167.1,1
2022-01-02,Headphones,West,180,795.02,0
2022-01-09,Smartphone,North,251,794.14,0
2022-01-09,Smartphone,South,246,422.62,0
2022-01-09,Smartphone,Central,216,397.81,0
2022-01-09,Smartphone,East,248,379.88,0
2022-01-09,Smartphone,West,240,898.49,0
2022-01-09,Smartwatch,North,267,207.63,0
2022-01-09,Smartwatch,South,218,793.87,0
2022-01-09,Smartwatch,Central,276,570.46,0
2022-01-09,Smartwatch,East,204,382.92,0
2022-01-09,Smartwatch,West,185,916.81,0
2022-01-09,Tablet,North,273,305.92,0
2022-01-09,Tablet,South,174,360.78,0
2022-01-09,Tablet,Central,245,823.3,0
2022-01-09,Tablet,East,216,903.3,0
2022-01-09,Tablet,West,164,305.14,0
2022-01-09,Headphones,North,183,836.21,1
2022-01-09,Headphones,South,200,475.67,0
2022-01-09,Headphones,Central,188,207.88,0
2022-01-09,Headphones,East,191,566.91,0
2022-01-09,Headphones,West,220,427.27,1
2022-01-16,Smartphone,North,104,356.36,0
2022-01-16,Smartphone,South,198,648.61,0
2022-01-16,Smartphone,Central,190,230.41,0
2022-01-16,Smartphone,East,215,987.09,0
2022-01-16,Smartphone,West,257,313.87,0
2022-01-16,Smartwatch,North,237,431.0,0
2022-01-16,Smartwatch,South,229,181.26,1
2022-01-16,Smartwatch,Central,309,388.7,0
2022-01-16,Smartwatch,East,204,709.81,0
2022-01-16,Smartwatch,West,174,560.88,0
2022-01-16,Tablet,North,146,721.84,0
2022-01-16,Tablet,South,223,943.06,0
2022-01-16,Tablet,Central,160,932.22,1
2022-01-16,Tablet,East,183,332.15,0
2022-01-16,Tablet,West,211,576.69,0
2022-01-16,Headphones,North,265,183.79,1
2022-01-16,Headphones,South,212,405.13,0
2022-01-16,Headphones,Central,239,753.36,1
2022-01-16,Headphones,East,212,677.83,0
2022-01-16,Headphones,West,217,245.47,1
2022-01-23,Smartphone,North,214,104.56,0
2022-01-23,Smartphone,South,164,593.86,0
2022-01-23,Smartphone,Central,140,740.96,0
2022-01-23,Smartphone,East,232,392.86,0
2022-01-23,Smartphone,West,248,691.85,0
2022-01-23,Smartwatch,North,220,184.31,0
2022-01-23,Smartwatch,South,155,975.71,0
2022-01-23,Smartwatch,Central,159,902.84,0
2022-01-23,Smartwatch,East,200,619.21,0
2022-01-23,Smartwatch,West,272,275.72,0
2022-01-23,Tablet,North,146,946.41,1
2022-01-23,Tablet,South,224,923.38,0
2022-01-23,Tablet,Central,223,967.26,1
2022-01-23,Tablet,East,196,365.0,0
2022-01-23,Tablet,West,177,252.54,0
2022-01-23,Headphones,North,242,942.54,0
2022-01-23,Headphones,South,155,653.51,1
2022-01-23,Headphones,Central,207,226.08,0
2022-01-23,Headphones,East,217,727.31,0
2022-01-23,Headphones,West,228,423.54,0
2022-01-30,Smartphone,North,225,880.37,1
2022-01-30,Smartphone,South,225,560.21,0
2022-01-30,Smartphone,Central,228,731.77,0
2022-01-30,Smartphone,East,256,901.0,0
2022-01-30,Smartphone,West,161,620.45,0
2022-01-30,Smartwatch,North,188,519.04,0
2022-01-30,Smartwatch,South,234,127.45,0
2022-01-30,Smartwatch,Central,119,840.34,0
2022-01-30,Smartwatch,East,203,792.99,0
2022-01-30,Smartwatch,West,146,660.6,0
2022-01-30,Tablet,North,202,586.57,0
2022-01-30,Tablet,South,167,753.48,1
2022-01-30,Tablet,Central,98,815.67,0
2022-01-30,Tablet,East,209,495.07,0
2022-01-30,Tablet,West,225,468.06,0
2022-01-30,Headphones,North,243,240.79,0
2022-01-30,Headphones,South,288,694.18,0
2022-01-30,Headphones,Central,220,959.38,0
2022-01-30,Headphones,East,306,477.64,0
2022-01-30,Headphones,West,251,420.38,0
2022-02-06,Smartphone,North,222,526.76,0
2022-02-06,Smartphone,South,238,542.45,0
2022-02-06,Smartphone,Central,187,458.65,0
2022-02-06,Smartphone,East,137,671.58,0
2022-02-06,Smartphone,West,272,552.82,1
2022-02-06,Smartwatch,North,128,692.82,0
2022-02-06,Smartwatch,South,209,123.86,0
2022-02-06,Smartwatch,Central,169,946.21,0
2022-02-06,Smartwatch,East,279,512.43,0
2022-02-06,Smartwatch,West,138,947.32,0
2022-02-06,Tablet,North,214,164.07,0
2022-02-06,Tablet,South,168,860.39,0
2022-02-06,Tablet,Central,170,206.35,0
2022-02-06,Tablet,East,242,666.05,1
2022-02-06,Tablet,West,240,353.83,0
2022-02-06,Headphones,North,231,775.55,1
2022-02-06,Headphones,South,198,434.82,0
2022-02-06,Headphones,Central,205,406.72,1
2022-02-06,Headphones,East,189,775.78,0
2022-02-06,Headphones,West,254,192.81,1
2022-02-13,Smartphone,North,265,388.04,1
2022-02-13,Smartphone,South,201,450.28,0
2022-02-13,Smartphone,Central,216,955.55,0
2022-02-13,Smartphone,East,193,668.65,0
2022-02-13,Smartphone,West,149,705.27,0
2022-02-13,Smartwatch,North,139,812.42,0
2022-02-13,Smartwatch,South,199,151.8,0
2022-02-13,Smartwatch,Central,155,497.38,1
2022-02-13,Smartwatch,East,158,228.69,0
2022-02-13,Smartwatch,West,183,656.4,0
2022-02-13,Tablet,North,212,165.49,1
2022-02-13,Tablet,South,174,735.62,0
2022-02-13,Tablet,Central,127,831.52,1
2022-02-13,Tablet,East,129,987.4,0
2022-02-13,Tablet,West,164,799.43,0
2022-02-13,Headphones,North,189,481.8,1
2022-02-13,Headphones,South,199,110.22,0
2022-02-13,Headphones,Central,149,150.67,0
2022-02-13,Headphones,East,216,771.44,0
2022-02-13,Headphones,West,158,965.96,0
2022-02-20,Smartphone,North,234,301.24,1
2022-02-20,Smartphone,South,179,110.94,1
2022-02-20,Smartphone,Central,211,166.42,0
2022-02-20,Smartphone,East,200,972.37,0
2022-02-20,Smartphone,West,272,509.09,0
2022-02-20,Smartwatch,North,247,625.88,1
2022-02-20,Smartwatch,South,309,349.64,0
2022-02-20,Smartwatch,Central,159,517.33,0
2022-02-20,Smartwatch,East,162,976.96,1
2022-02-20,Smartwatch,West,207,728.35,0
2022-02-20,Tablet,North,247,716.26,0
2022-02-20,Tablet,South,171,919.83,1
2022-02-20,Tablet,Central,133,939.46,1
2022-02-20,Tablet,East,291,140.7,0
2022-02-20,Tablet,West,258,988.55,0
2022-02-20,Headphones,North,176,634.72,0
2022-02-20,Headphones,South,194,473.34,0
2022-02-20,Headphones,Central,261,150.74,1
2022-02-20,Headphones,East,200,792.09,1
2022-02-20,Headphones,West,202,864.68,0
2022-02-27,Smartphone,North,146,958.65,0
2022-02-27,Smartphone,South,192,305.78,0
2022-02-27,Smartphone,Central,123,202.2,0
2022-02-27,Smartphone,East,263,568.28,0
2022-02-27,Smartphone,West,258,596.72,0
2022-02-27,Smartwatch,North,203,888.99,0
2022-02-27,Smartwatch,South,232,733.67,0
2022-02-27,Smartwatch,Central,268,222.73,0
2022-02-27,Smartwatch,East,252,453.02,0
2022-02-27,Smartwatch,West,112,913.74,0
2022-02-27,Tablet,North,275,456.89,0
2022-02-27,Tablet,South,203,876.13,1
2022-02-27,Tablet,Central,114,513.22,1
2022-02-27,Tablet,East,197,543.36,0
2022-02-27,Tablet,West,134,168.28,0
2022-02-27,Headphones,North,233,215.24,0
2022-02-27,Headphones,South,218,263.69,0
2022-02-27,Headphones,Central,153,907.11,0
2022-02-27,Headphones,East,150,273.06,0
2022-02-27,Headphones,West,225,252.04,0
2022-03-06,Smartphone,North,194,285.7,0
2022-03-06,Smartphone,South,148,553.08,0
2022-03-06,Smartphone,Central,165,886.22,1
2022-03-06,Smartphone,East,210,154.97,0
2022-03-06,Smartphone,West,230,266.07,0
2022-03-06,Smartwatch,North,237,433.42,0
2022-03-06,Smartwatch,South,124,516.28,0
2022-03-06,Smartwatch,Central,268,133.01,0
2022-03-06,Smartwatch,East,228,560.51,0
2022-03-06,Smartwatch,West,215,196.45,0
2022-03-06,Tablet,North,119,342.32,0
2022-03-06,Tablet,South,210,118.06,0
2022-03-06,Tablet,Central,167,207.79,1
2022-03-06,Tablet,East,145,634.23,0
2022-03-06,Tablet,West,199,178.23,0
2022-03-06,Headphones,North,273,628.16,0
2022-03-06,Headphones,South,148,355.4,0
2022-03-06,Headphones,Central,190,681.33,0
2022-03-06,Headphones,East,130,191.6,0
2022-03-06,Headphones,West,228,321.36,0
2022-03-13,Smartphone,North,170,256.04,1
2022-03-13,Smartphone,South,156,172.21,0
2022-03-13,Smartphone,Central,213,200.84,0
2022-03-13,Smartphone,East,197,972.52,1
2022-03-13,Smartphone,West,171,253.8,0
2022-03-13,Smartwatch,North,237,936.44,0
2022-03-13,Smartwatch,South,116,792.54,0
2022-03-13,Smartwatch,Central,227,391.31,0
2022-03-13,Smartwatch,East,118,203.35,0
2022-03-13,Smartwatch,West,202,359.77,0
2022-03-13,Tablet,North,196,579.33,0
